Demonstration Name,Unintentional Needle Drop,,,Needle Out of View,,
,Start ,End,Remarks,Start ,End,Remarks
Suturing_B001_2496_2679,,,,,,Anomaly
Suturing_B001_3156_3308,,,,,,Anomaly
Suturing_B001_4847_4983,,,,,,Anomaly
Suturing_B002_1116_1272,,,,,,Anomaly
Suturing_B002_1891_2011,,,,,,Anomaly
Suturing_B002_2773_2877,,,,,,Anomaly
Suturing_B003_702_919,,,,,,Anomaly
Suturing_B003_1395_1526,,,,,,Anomaly
Suturing_B003_2196_2370,,,,,,Anomaly
Suturing_B004_877_1015,,,,,,Anomaly
Suturing_B004_1604_1722,,,,,,Anomaly
Suturing_B004_2327_2429,,,,,,Anomaly
Suturing_B005_1116_1186,,,,,,Anomaly
Suturing_B005_1668_1779,,,,,,Anomaly
Suturing_B005_2235_2329,,,,,,Anomaly
Suturing_C001_855_1039,,,,,,Anomaly
Suturing_C001_1794_1915,,,,,,Anomaly
Suturing_C001_2411_2529,,,,,,Anomaly
Suturing_C002_902_1029,,,,,,Anomaly
Suturing_C002_2164_2334,,,,,,Anomaly
Suturing_C003_830_956,,,,,,Anomaly
Suturing_C003_1489_1607,,,,,,Anomaly
Suturing_C003_2058_2212,,,,,,Anomaly
Suturing_C004_584_710,,,,,,Anomaly
Suturing_C004_1200_1322,,,,,,Anomaly
Suturing_C004_1703_1775,,,,,,Anomaly
Suturing_C005_493_570,,,,,,Anomaly
Suturing_C005_1057_1160,,,,,,Anomaly
Suturing_C005_1589_1681,,,,,,Anomaly
Suturing_D001_854_1052,,,,,,0
Suturing_D001_1701_1772,,,,,,0
Suturing_D001_2165_2243,,,,,,0
Suturing_D002_523_630,,,,,,0
Suturing_D002_1002_1085,,,,,,0
Suturing_D002_1490_1563,,,,,,0
Suturing_D003_590_742,,,,,,0
Suturing_D003_1266_1339,,,,,,0
Suturing_D003_1690_1759,,,,,,0
Suturing_D004_99_190,,,,,,0
Suturing_D004_656_736,,,,,,0
Suturing_D004_2040_2154,,,,,,0
Suturing_D005_529_621,,,,,,0
Suturing_D005_931_1011,,,,,,0
Suturing_D005_1374_1433,,,,,,0
Suturing_E001_903_1076,,,,,,Anomaly
Suturing_E001_1638_1763,,,,,,0
Suturing_E001_2348_2573,,,,,,0
Suturing_E002_808_984,,,,,,Anomaly
Suturing_E002_1408_1513,,,,,,0
Suturing_E002_1912_2034,,,,,,0
Suturing_E003_580_689,,,,,,0
Suturing_E003_1663_1777,,,,,,0
Suturing_E004_696_804,,,,,,Anomaly
Suturing_E004_1262_1435,,,,,,0
Suturing_E004_1977_2141,,,,,,0
Suturing_E005_508_644,,,,,,Anomaly
Suturing_E005_1055_1170,,,,,,0
Suturing_E005_1553_1640,,,,,,0
Suturing_F001_754_854,,,,,,Anomaly
Suturing_F001_1255_1369,,,,,,Anomaly
Suturing_F001_1802_1995,,,,,,Anomaly
Suturing_F002_609_686,,,,,,Anomaly
Suturing_F002_1129_1250,,,,,,Anomaly
Suturing_F002_1599_1681,,,,,,Anomaly
Suturing_F003_490_589,,,,,,Anomaly
Suturing_F003_953_1114,,,,,,Anomaly
Suturing_F003_1485_1565,,,,,,Anomaly
Suturing_F004_493_589,,,,,,Anomaly
Suturing_F004_929_1176,,,,,,Anomaly
Suturing_F004_1674_1762,,,,,,Anomaly
Suturing_F005_520_601,,,,,,Anomaly
Suturing_F005_866_962,,,,,,Anomaly
Suturing_F005_1290_1376,,,,,,Anomaly
Suturing_G001_939_1131,,,,,,Anomaly
Suturing_G001_4426_4556,,,,,,Anomaly
Suturing_G001_6254_6406,,,,,,Anomaly
Suturing_G002_698_816,,,,,,Anomaly
Suturing_G002_1465_1582,,,,,,Anomaly
Suturing_G002_2030_2185,,,,,,Anomaly
Suturing_G003_938_1072,,,,,,Anomaly
Suturing_G003_1509_1640,,,,,,Anomaly
Suturing_G003_2831_3053,,,,,,0
Suturing_G004_830_967,,,,,,Anomaly
Suturing_G004_1324_1407,,,,,,Anomaly
Suturing_G004_1856_2007,,,,,,Anomaly
Suturing_G005_611_726,,,,,,Anomaly
Suturing_G005_1062_1180,,,,,,Anomaly
Suturing_G005_1750_1873,,,,,,0
Suturing_H001_1636_1817,,,,,,Anomaly
Suturing_H001_2538_2643,,,,,,Anomaly
Suturing_H001_2996_3084,,,,,,Anomaly
Suturing_H001_3152_3399,,,,,,Anomaly
Suturing_H001_4165_4368,,,,,,Anomaly
Suturing_H003_1163_1347,,,,,,Anomaly
Suturing_H003_1874_1991,,,,,,Anomaly
Suturing_H003_2550_2682,,,,,,Anomaly
Suturing_H004_817_990,,,,,,Anomaly
Suturing_H004_1023_1173,,,,,,0
Suturing_H004_2060_2271,,,,,,Anomaly
Suturing_H004_2861_3046,,,,,,Anomaly
Suturing_H005_768_961,,,,,,Anomaly
Suturing_H005_1668_1828,,,,,,Anomaly
Suturing_H005_2454_2624,,,,,,Anomaly
Suturing_I001_1047_1194,,,,,,Anomaly
Suturing_I001_1809_2017,,,,,,Anomaly
Suturing_I001_2643_2905,,,,,,0
Suturing_I002_1371_1600,,,,,,Anomaly
Suturing_I002_2631_2752,,,,,,Anomaly
Suturing_I002_3452_3623,,,,,,Anomaly
Suturing_I003_1388_1620,,,,,,Anomaly
Suturing_I003_2444_2604,,,,,,Anomaly
Suturing_I003_3564_3675,,,,,,Anomaly
Suturing_I004_1058_1126,,,,,,Anomaly
Suturing_I004_1164_1312,,,,,,Anomaly
Suturing_I004_2028_2234,,,,,,Anomaly
Suturing_I004_3051_3219,,,,,,0
Suturing_I005_1365_1486,,,,,,Anomaly
Suturing_I005_2189_2312,,,,,,Anomaly
Suturing_I005_2978_3077,,,,,,Anomaly
